Date,Close,High,Low,Open,Volume
2023-04-27,61552.06641,61933.19375,60313.40253,61075.65722,14779601
2023-04-28,62409.59766,62790.72497,61933.18851,62123.75217,19699481
2023-05-02,62600.16406,63171.85506,62028.47307,62886.00956,14396948
2023-05-03,62314.32422,62504.8879,61837.91501,62028.47869,8876749
2023-05-04,62028.47656,62600.16759,61647.34921,62504.88575,9791064
2023-05-08,62790.73047,63171.85782,62314.32128,63171.85782,9405365
2023-05-09,62219.04297,62695.45218,62028.47928,62695.45218,9366861
2023-05-10,61552.06641,62409.60294,61266.2209,62409.60294,13057727
2023-05-11,61170.93359,62028.47005,61170.93359,61647.34273,11648905
2023-05-12,61075.66016,61552.06936,60599.25095,60694.53279,8693913
2023-05-15,61456.78906,61552.07091,60885.098,61075.66169,8172021
2023-05-16,62314.32422,62790.73343,62219.04238,62695.45158,12334657
2023-05-17,61933.19141,62790.7279,61742.62774,62790.7279,10745504
2023-05-18,63076.57031,63076.57031,62600.16117,62886.00666,14431704
2023-05-19,65172.76172,65172.76172,64315.22538,64601.07083,20349345
2023-05-22,65268.05469,65744.46385,64791.64553,65172.77286,14470308
2023-05-23,65172.76172,65458.60716,64886.91627,65268.04353,8561643
2023-05-24,65268.05469,65458.61835,64791.64553,64886.92736,8192896
2023-05-25,65553.91406,66697.29628,65458.63221,66602.01443,14231160
2023-05-26,66983.14063,67078.42248,66220.88582,66506.73137,19549511
2023-05-30,68888.77344,68888.77344,67840.67315,67935.95499,27476897
2023-05-31,68031.23438,69079.33462,67650.10701,68984.05278,25666087
2023-06-01,67554.82031,68221.79315,67268.97481,67554.82031,14669296
2023-06-02,68793.49219,68793.49219,68221.80112,68317.08296,12161798
2023-06-05,68317.07813,69269.89651,68031.23261,69269.89651,12686829
2023-06-07,67650.10156,68221.79256,67459.5379,67935.94706,14796613
2023-06-08,67554.82031,67554.82031,66697.28381,67078.41114,19165568
2023-06-09,68602.9375,68888.78307,67459.55521,67745.40078,15050209
2023-06-12,67650.10156,68984.04723,67459.5379,68698.20173,12064287
2023-06-13,68602.9375,68793.50122,68221.81007,68317.09193,13227285
2023-06-14,68507.64844,68793.49398,67745.39366,68698.21213,12541046
2023-06-15,68126.50781,68888.76245,67935.94415,68698.19879,13614994
2023-06-16,68412.36719,68507.64904,67554.83055,68412.36719,15373696
2023-06-19,67840.67188,68317.08109,67554.82635,67935.95372,11100887
2023-06-20,68031.23438,68031.23438,67078.41597,67364.26149,11557883
2023-06-21,67173.70313,67840.67606,67078.42128,67364.26682,10626603
2023-06-22,67935.94531,68126.50897,66792.56334,66887.84517,11411007
2023-06-23,68221.79688,68793.48791,68221.79688,68602.92423,12329484
2023-06-26,68984.04688,69079.32871,68126.51038,68317.07405,10541901
2023-06-27,69174.61719,69174.61719,68602.92614,69079.33535,9442997
2023-06-28,69269.89844,69269.89844,68602.92555,69174.6166,8783093
2023-06-29,69328.30469,70285.87796,69328.30469,69998.60598,12229967
2023-06-30,69136.79688,69615.58356,68658.01019,69424.06888,11694765
2023-07-03,69902.85938,70094.37406,69519.83001,69615.58735,10722181
2023-07-04,69902.85938,70477.40342,69807.10203,70285.88874,10214350
2023-07-05,68945.28906,70190.13456,68849.53172,69902.86252,12310610
2023-07-06,68562.25,69328.30866,68466.49267,68849.522,14777667
2023-07-07,66934.375,68370.73498,66838.61767,68083.46298,17308877
2023-07-10,66551.33594,67413.1518,66264.06398,67030.12253,11713926
2023-07-11,68466.48438,68466.48438,67125.88188,67221.6392,12177392
2023-07-12,68849.53125,68945.2886,68083.47249,68179.22983,10375581
2023-07-13,68849.53125,69519.83267,68849.53125,69328.31798,14417279
2023-07-14,70285.89063,70285.89063,69328.31718,69424.07453,15882519
2023-07-17,70190.14063,70381.65533,69711.35385,70094.38327,10060049
2023-07-18,68945.28906,70381.64925,68945.28906,70094.37721,11697900
2023-07-19,68658.00781,69711.33848,68274.97848,69615.58114,10896412
2023-07-20,67987.70313,68466.48977,67796.18847,68083.46045,9732730
2023-07-21,67317.41406,67413.17141,66455.59795,67413.17141,16528926
2023-07-24,67413.17188,67891.95861,66934.38514,67125.89984,13418597
2023-07-25,67030.13281,67508.91948,66838.61815,67030.13281,14314945
2023-07-26,66838.61719,67604.67584,65210.74256,66838.61719,30016221
2023-07-27,68658.00781,68658.00781,66359.83182,66934.37582,24261179
2023-07-28,67604.67969,69328.31175,67125.893,68753.76773,19420683
2023-07-31,66838.61719,67987.70516,66838.61719,67891.94783,13035420
2023-08-01,68083.46094,68179.21827,67030.13032,67125.88765,12299254
2023-08-02,66934.375,67987.70565,66838.61767,67700.43366,13835020
2023-08-03,65881.05469,67221.65754,65593.78265,66934.3855,20087090
2023-08-04,65402.25781,66168.31647,65306.50048,65881.04447,12360193
2023-08-07,65593.76563,66264.06688,64731.94973,64827.70705,10968505
2023-08-08,64731.96094,66168.32102,64540.44626,66072.56368,14664709
2023-08-09,65976.8125,66647.11393,65019.23902,65114.99637,17259673
2023-08-10,65114.98047,65593.76709,64923.46582,65402.25244,10227311
2023-08-11,64636.19922,65881.04454,64636.19922,65498.01521,9781038
2023-08-14,64444.69141,65019.23546,64061.66204,64636.20609,9352343
2023-08-16,64157.40234,64253.15966,63487.10113,63870.13039,13174578
2023-08-17,63870.14063,63965.89796,63199.8393,63487.1113,10778652
